Date,Composants de coûts,Devise,Type de données,Source de données,Commerce extérieur,Indicateur,Marché,Produit,Groupe de produits,Système de production,Provenance du produit,Propriétés du produit,Sous-groupe de produits,Région de vente,Unité,Mode d’utilisation,Echelon de création de valeur_Détail,Echelon de création de valeur ,Prix
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687847
08-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.479525
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.567951
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.690009
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687847
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
07-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687847
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.867663
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.431976
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.690009
06-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.468355
05-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait entier pasteurisé,Lait de consommation,Conventionnel,Suisse,NA,Lait entier,NA,Litre,NA,À partir du commerce de détail,Consommation,1.687761
05-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait drink pasteurisé,Lait de consommation,Bio,Suisse,NA,Lait drink,NA,Litre,NA,À partir du commerce de détail,Consommation,1.955542
05-2023,TVA incluse,Francs,NA,"OFAG, secteur Analyses du marché",NA,Prix,Lait et produits laitiers,Lait écrémé UHT,Lait de consommation,Conventionnel,Suisse,NA,Lait écrémé,NA,Litre,NA,À partir du commerce de détail,Consommation,1.630554
